Username,Comment,vader_sentiment
@hilalerdal4274,OMG!!! I discovered this chanel right now and ı just watch this video and ı love it. You're a great teacher. ı love that your learning system. I will look your another videos. ı'm glad to discover your chanel. <3,1
@mika.n18,"Great lesson, thank you Thiago ",1
@vinisam9489,"O homem está muito estiloso, soo good bro",1
@cheetah2882,I'd like a lesson on renewable energy and friendly life thanks ;),1
@tirsonpenadelacruz8739,This video it's important for me.,1
@mateoalejandroguzmancalero3233,thank you so much for this,1
@Harshita-um8sf,Thankyou,1
@matheuspastana,Parabéns pelo canal!! ,1
@HichamEl-Azizi-zl1vr,Thank you.,1
@hopahope,"Thanks for the lesson. I have two suggestions: one is to make one lesson about an interview with Jeff Bezos, the arch rival of Musk. The second is to make a lesson of any of the interviews of Michael Jackson, I like your analysis of the cultural aspects of the American songs that incorporate the historical and psychological contexts and and things along those lines.",1
@AlaaHossam-xs2ly,"Hi, I admire your way for explaining words. 
Can you make a lesson for vampire diaries? I love it !",1
@silviacantarella7908,"Hi, do you know when the course ""fluent with friends"" will start again? And is it free?",1
@eliaszelelew,I loved your videos.,1
@metehan.48,Wonderful producer,1
@dulguunerdenekhuu7162,"I want you guys to make more lessons about Arnold (Actor, Bodybuilder, Governor of California and investor). Because he is really compelling for me. Please guys at least one more lesson about Arnold. Arnold.",1
@karzelsyifa,Thank you so much for your efforts making this lesson. This is my first time join in the apps and I enjoy the lesson. Thank you!,1
@rezwanamonisha835,"In this video, i learnt some new word and funny phrase, like when i will complement anyone i mean when i will tell them something negative way, i will use to this word pejorative way or derogatory way instead of negative way, really this word is amazing and sounds Pretty , and when i will debate anyone any interesting topic, i will use compelling argument instead of logical or interesting argument. 

Besides, i will use along those lines instead of things like that.

By the way, i'm greatful to you.",1
@user-mt7en5lv7i,Thank you very much!,1
@ui3418,I love these kinds of videos,1
@AbanOmer,I got a lot of benefits from this lesson,1
@user-vx6ns3dc2j,I am a big fan of your channel!,1
@user-iy6py6fr6l,"Great job,I like yours videos",1
@erdiekici3237,"Great channel ,great lessons...",1
@petercommandeur2211,obrigado amigo bom noite cara,1
@FlavioSouzaMentor,Excelente!!,1
@user-yk5vn1jq9v,Thaaankkkkkkk uuuuuuu ,1
@lucasmartins1726,Your content is perfect,1
@sanjanaakhileshsingh9742,Link for music plz which has been played in starting.,1
@Mohammed92mohamed,IAM learning from it,1
@anjalimoon1397,Hey... Hi i am preparing for PTE exam... Can you make lecture session related to vowel sounds pronunciation and academic words....,1
@socorroaguiar4255,Very good!,1
@studentsimplelife,great,1
@JChaima-xv9ld,Is it good to write the new vocabulary in my notebook or are the flashcards in the app enough?,1
@samueletardito,Spettacolare ,1
@user-di8oi9kz3t,"I translated ""pejorative"" and the meaning was totally different than you just described. ""Pejorative"" means when you make somone or something worth nothing basically insults him. 
In context when you comment to someone in a pejorative way you are insulting them and making them nothing.",1
@MindTreeNexus,"I would suggest to next lesson from ""Youth Club"" Podcast. Please",1
@felipegaspio,Great video,1
@user-rb1gs4re1i,Good,1
@Faisal_ahmed1r,From this video I learnt a new word  pejorative which means derogatory,1
@gustavomonteiro2226,-,1
@ckghost5341,better than any skool education out there,1
@user-id1yu9eb2w,This channel has videos of which type of accent ؟,1
@user-kw9hk4qr7l,I like that,1
@h2consultoriaquimica867,Where does Thiago come from?,1
@zinebmoukhlis8426,-,1
@webphame,"what does it mean "" In the first place "" in a communication with someone",1
@user-tg8cv7cx6h,Peaky blinders please,1
@harktaiom3180,i don't understand what are they talking in this video but somewhere i can understand maybe i don't know these words in this vide.,1
@khoemseangva6684,-,1
@andreiro6325,"Oh my goodness , ehy Thiago which IPhone model did you read the comment of the day from ",1
@xDubaRx,"Despite what you think about Rocky's understandings about the word derogatory. I, on the other hand, think he does understand perfectly what it means. That's why he sarcastically says the camp is great. Because from his point of view, it was disrespectful to tell such lie.",1
@frzi3963,"I suggest ""terrifier 2""",1
