Username,Comment,vader_sentiment
@ych2tj,"I have a question, what does the ""Attack Factor"" mean?",0
@talhaazizakkus3156,App said to me error i did not create new account,0
@lolakholmuradova1065,Pride and prejudice,0
@nonstop019,"Sorry team, I couldn't understand how this clip is apart of an episode on real  english app",0
@Victaoarbr,Man I think you're brazilian or Am I getting highly wrong?,0
@solmariamarisol7866,"Esa App es muy complicada, la descargue y no hayo por donde empezar y que hacer. La elimine. Me quedo con  los Podcast.",0
@juliaselcinskaite7027,"Oh no , not Musk, even for the purpose of the english lesson",0
